team,link
Team0,'[![wercker status](https://app.wercker.com/status/c11154bb9a0eb4fec9fb44a9d75ab4ab/s/master "wercker status")](https://app.wercker.com/project/byKey/c11154bb9a0eb4fec9fb44a9d75ab4ab)'
Team1,'[![wercker status](https://app.wercker.com/status/93eeedc287da0173cfaeefb52835f631/s/master "wercker status")](https://app.wercker.com/project/byKey/93eeedc287da0173cfaeefb52835f631)'
Team2,'[![wercker status](https://app.wercker.com/status/733a6323a869caf23d33f75b5a079b5d/s/master "wercker status")](https://app.wercker.com/project/byKey/733a6323a869caf23d33f75b5a079b5d)'
Team3,'[![wercker status](https://app.wercker.com/status/906cdad4dcf8520707216d49f4441a4d/s/master "wercker status")](https://app.wercker.com/project/byKey/906cdad4dcf8520707216d49f4441a4d)'
Team4,'[![wercker status](https://app.wercker.com/status/dfd5c24fea187502cf65da750a86c5b0/s/master "wercker status")](https://app.wercker.com/project/byKey/dfd5c24fea187502cf65da750a86c5b0)'
Team5,'[![wercker status](https://app.wercker.com/status/562f3e1d1577edb32676c92ba348cb4f/s/master "wercker status")](https://app.wercker.com/project/byKey/562f3e1d1577edb32676c92ba348cb4f)'
Team6,'[![wercker status](https://app.wercker.com/status/3c6290c3d8aa898715b8be4ae3d8c548/s/master "wercker status")](https://app.wercker.com/project/byKey/3c6290c3d8aa898715b8be4ae3d8c548)'
Team7,'[![wercker status](https://app.wercker.com/status/5556df673b7fc9abdd0e66a102420100/s/master "wercker status")](https://app.wercker.com/project/byKey/5556df673b7fc9abdd0e66a102420100)'
Team8,'[![wercker status](https://app.wercker.com/status/6e58c584694fb4d280c6083960e02a22/s/master "wercker status")](https://app.wercker.com/project/byKey/6e58c584694fb4d280c6083960e02a22)'
Team9,'[![wercker status](https://app.wercker.com/status/f1f1dcd8d60819476297a472a9134475/s/master "wercker status")](https://app.wercker.com/project/byKey/f1f1dcd8d60819476297a472a9134475)'
Team10,'[![wercker status](https://app.wercker.com/status/01b4afc362117eb3931884bec4801c2a/s/master "wercker status")](https://app.wercker.com/project/byKey/01b4afc362117eb3931884bec4801c2a)'
